"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-08-31,"Lake Tomahawk","WI",,"Oneida",13064,1207,0.0142857142857143,-0.00740131578947368,0.121747211895911,494
2015-08-31,"Lone Tree","IA","Iowa City","Johnson",13065,1277,0.00156862745098039,-0.00699844479004666,0.00314218381775334,690
2015-08-31,"Horseshoe Bay","TX",,"Llano",13066,2236,0.0453482935951379,0.0678127984718243,0.0880778588807786,792
2015-08-31,"Boise City","OK",,"Cimarron",13067,767,0,0.0105401844532279,0.0506849315068493,680
2015-08-31,"Neuse Forest","NC","New Bern","Craven",13068,1199,0,-0.00745033112582781,-0.0275750202757502,831
2015-08-31,"Industry","PA","Pittsburgh","Beaver",13069,964,0.025531914893617,-0.0233029381965552,-0.0783938814531549,530
2015-08-31,"Foreston","MN",,"Mille Lacs",13070,1266,-0.00236406619385343,0.0259319286871961,0.0185036202735318,480
2015-08-31,"Stockton","KS",,"Rooks",13071,952,0.00740740740740741,0.0149253731343284,0.182608695652174,730
2015-08-31,"Mar-Mac","NC","Goldsboro","Wayne",13072,919,0.00218102508178844,0.00767543859649123,0.0211111111111111,491
2015-08-31,"Lynnwood-Pricedale","PA","Pittsburgh","Westmoreland",13073,869,-0.00229621125143513,-0.032293986636971,-0.0957336108220603,966
2015-08-31,"Mikado","MI",,"Alcona",13074,833,0.01338199513382,-0.0188457008244994,-0.0566251415628539,745
2015-08-31,"Benton","KY",,"Marshall",13075,879,0.0103448275862069,0.00228050171037628,0.0851851851851852,1135
2015-08-31,"Albany Township","PA","Reading","Berks",13076,1385,0.000722543352601156,0.0116873630387144,0.115136876006441,444
2015-08-31,"Highland","WI","Madison","Iowa",13077,1074,-0.00739371534195933,-0.0503978779840849,-0.0668983492615117,510
2015-08-31,"Cascade","VA","Danville","Pittsylvania",13078,1024,-0.00485908649173955,-0.000975609756097561,0.00195694716242661,488
2015-08-31,"Rio Verde","AZ","Phoenix","Maricopa",13079,2792,-0.00887468938587149,0.0156420516551473,0.141922290388548,1698
2015-08-31,"Lerna","IL","Charleston","Coles",13080,1245,-0.000802568218298555,0.00241545893719807,-0.0150316455696203,531
