"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"Quincy","MA","Boston","Norfolk",368,371000,0.00842620277249253,0.0178326474622771,0.056378132118451,0.0343201453974158,-0.000349730657094871,"2005-08","2005-Q3",372300,-0.0034918076819769,"2005-05"
2015-08-31,"Lithonia","GA","Atlanta","Dekalb",369,95800,0.0159066808059385,0.0401737242128122,0.121779859484778,0.0206336441845294,-0.0354910075162372,"2006-09","2006-Q3",140300,-0.317177476835353,"1997-12"
2015-08-31,"Valdosta","GA","Valdosta","Lowndes",370,114400,-0.002615518744551,-0.0129421915444349,-0.0482529118136439,-0.019286423312128,-0.000261860227586896,"2008-08","2008-Q3",138100,-0.171614771904417,"2005-08"
2015-08-31,"Greeley","CO","Greeley","Weld",371,200900,0.00954773869346734,0.0297283444387494,0.135028248587571,0.0724655157028067,0.0197576908385648,"2015-08","2015-Q3",200900,0,"2015-08"
2015-08-31,"El Monte","CA","Los Angeles","Los Angeles",372,418300,0.00456292026897214,0.00941119691119691,0.0374503968253968,0.0510597691642232,0.0000478251521494055,"2006-08","2006-Q3",465100,-0.100623521823264,"2005-09"
2015-08-31,"Kent","WA","Seattle","King",373,286200,0.00845665961945032,0.0287562904385334,0.0869730345613369,0.0343763822355037,0.00488040535775203,"2007-06","2007-Q2",331700,-0.137172143503166,"2005-12"
2015-08-31,"Acworth","GA","Atlanta","Cobb",374,174100,0.00577700751010976,0.0145687645687646,0.0596469872185027,0.0279278626835306,0.0020916394373256,"2007-06","2007-Q2",181600,-0.0412995594713656,"2006-01"
2015-08-31,"Santa Monica","CA","Los Angeles","Los Angeles",375,1245000,0.0075260985676135,0.0303732516759083,0.131303952748751,0.0720288070147068,0.024045034465038,"2015-08","2015-Q3",1245000,0,"2015-08"
2015-08-31,"Boulder","CO","Boulder","Boulder",376,590400,0.0126929674099485,0.0374275171323142,0.146407766990291,0.0703801834221429,0.0451031069536543,"2015-08","2015-Q3",590400,0,"2015-08"
2015-08-31,"Bowie","MD","Washington","Prince Georges",377,309800,0.00226463927531543,0.00617083468658655,0.0184089414858646,0.0215302761228349,-0.0157226782875634,"2006-08","2006-Q3",399900,-0.225306326581645,"2004-12"
2015-08-31,"Federal Way","WA","Seattle","King",378,273600,0.00366837857666911,0.0148367952522255,0.0780141843971631,0.0335360312044701,0.00350219777955907,"2007-03","2007-Q1",315600,-0.133079847908745,"2005-11"
2015-08-31,"Livermore","CA","San Francisco","Alameda",379,674900,0.00566234540306959,0.0201027811366385,0.0979339515210672,0.095519306440403,0.00785609038419777,"2015-08","2015-Q3",674900,0,"2015-08"
2015-08-31,"McDonough","GA","Atlanta","Henry",380,150300,0.00535117056856187,0.0182926829268293,0.0720399429386591,0.0197474428737801,-0.00586110328287937,"2006-12","2006-Q4",169100,-0.111176818450621,"2003-08"
2015-08-31,"Kennewick","WA","Kennewick","Benton",381,204100,0.00344149459193707,0.0108964834076275,0.181134259259259,0.0444651900533306,0.0358553426710335,"2015-08","2015-Q3",204100,0,"2015-08"
2015-08-31,"Lexington","SC","Columbia","Lexington",382,142900,0,-0.00209497206703911,0.0120396600566572,-0.0056415268509632,0.00415204579323447,"2010-01","2010-Q1",149200,-0.0422252010723861,"2008-12"
2015-08-31,"Lynn","MA","Boston","Essex",383,266300,0.00528501321253303,0.0183556405353728,0.118437631247375,0.0466634558933983,-0.00828412805929413,"2005-10","2005-Q4",290500,-0.0833046471600688,"2004-06"
2015-08-31,"Waukegan","IL","Chicago","Lake",384,97400,-0.00102564102564103,-0.00814663951120163,0.0220356768100735,-0.0374816223873702,-0.0471650412412752,"2006-08","2006-Q3",161800,-0.398022249690976,"1996-05"
2015-08-31,"Canton","MI","Detroit","Wayne",385,220100,0.00364797081623347,0.00732265446224256,0.0571565802113353,0.0682741332127952,-0.00741239216151612,"2005-06","2005-Q2",238900,-0.0786940142318962,"2002-03"
2015-08-31,"Woodstock","GA","Atlanta","Cherokee",386,188400,0.00533617929562433,0.0172786177105832,0.0692395005675369,0.0305274789907346,0.00734787641300638,"2015-08","2015-Q3",188400,0,"2015-08"
2015-08-31,"Sandy","UT","Salt Lake City","Salt Lake",387,257100,0.00784006272050176,0.0247110402550817,0.022673031026253,0.0165858858489933,0.0153372060068733,"2008-01","2008-Q1",322000,-0.201552795031056,"2006-07"
2015-08-31,"Lawton","OK","Lawton","Comanche",388,75300,-0.00264900662251656,-0.00396825396825397,0.0343406593406593,-0.0161824083094282,0.00324440129295289,"2008-11","2008-Q4",84700,-0.110979929161747,"2006-04"
2015-08-31,"Toms River","NJ","New York","Ocean",389,248300,0.00242228502220428,0.00485633346823148,-0.00120675784392599,-0.0157407815389331,-0.0248357305813411,"2006-05","2006-Q2",327100,-0.240904922042189,"2003-09"
2015-08-31,"Holland Township","MI","Holland","Ottawa",390,153400,0.00195950359242325,0.0118733509234828,0.0421195652173913,0.0417969204408521,0.00440746168918293,"2002-12","2002-Q4",155300,-0.0122343850611719,"2002-12"
2015-08-31,"Westminster","CA","Los Angeles","Orange",391,551300,0.00309315866084425,0.0124885215794307,0.0583605298521789,0.0501741194218883,-0.0053018814027912,"2006-06","2006-Q2",636800,-0.134265075376884,"2005-04"
2015-08-31,"Loveland","CO","Fort Collins","Larimer",392,264900,0.0122277416889568,0.0396389324960754,0.140826873385013,0.0623163217620233,0.0261660279551106,"2015-08","2015-Q3",264900,0,"2015-08"
